title,content,category
"Rupee edges closer to 80 per US dollar, opens at record low of 79.94","The rupee on Friday opened at a record low of 79.94 against the US dollar. So far this year, the US dollar is up 7% against the Indian currency. On Thursday, the currency had closed at another record low of 79.90 against the US dollar. Meanwhile, BSE Sensex jumped 316 points to 53,733 in Friday's early session. ",business
Rupee drops 9 paise to close at all-time low of 79.90 against US dollar,"The rupee declined by 9 paise to close at a new record low of 79.90 against the US dollar on Thursday. At the interbank foreign exchange market, the local currency opened at 79.72 and witnessed intra-day high of 79.71 and a low of 79.92 against the US dollar. Meanwhile, brent crude futures, the global oil benchmark, dropped 2.20% to $97.38/barrel.",business
Musk accused lawyers of causing trouble by seeking deal's financing info: Twitter,"In its lawsuit against Tesla CEO Elon Musk, Twitter has shared a purported image of a text message that Musk sent to CEO Parag Agrawal before terminating the deal. Musk's message read, ""Your lawyers are using these conversations to cause trouble….That needs to stop."" Musk's message was in response to the company seeking information regarding the deal's financing.
",business
No plans for company-wide layoffs: Twitter amid lawsuit against Musk,"In a filing, Twitter has said that it isn't looking at company-wide layoffs but could continue to restructure the business. The filing comes a day after it sued Tesla CEO Elon Musk for violating his $44 billion deal. In May, Twitter said it would pause hiring and review all existing job offers to determine whether any ""should be pulled back"".",business
Elon has a real record of success: LinkedIn Co-founder defends Musk against Trump,"LinkedIn's billionaire Co-founder Reid Hoffman defended Tesla CEO Elon Musk after former US President Donald Trump called the former a ""bullshit artist"" over the $44 billion Twitter deal. Hoffman tweeted, ""Elon's a classic American immigrant story- an entrepreneur with a real record of success…[Whereas] Trump is a spoiled rich kid who bankrupts everything he touches. Including the US economy.""",business
Will prove our position in court & we believe we'll prevail: Twitter CEO to staff,"Following a lawsuit against Tesla CEO Elon Musk over the $44 billion acquisition agreement, Twitter CEO Parag Agrawal told his staff, ""We will prove our position in court and we believe we will prevail."" Twitter's lawsuit has accused Musk of ""a long list"" of violations of the merger agreement that ""cast a pall over Twitter and its business"". 
",business
"Like all firms, we are not immune to economic headwinds: Google CEO to staff","In an internal memo to the staff, Google CEO Sundar Pichai while announcing the company’s plan to slow its hiring, said, ""Like all companies, we’re not immune to economic headwinds"". He added, “The uncertain global economic outlook has been top of mind...We’ve never viewed these types of challenges as obstacles. Instead, we’ve seen them as opportunities to deepen our focus.""",business
"Twitter uses Musk's old poop reaction to CEO's tweet as evidence in court, he reacts","Twitter has used Tesla CEO Elon Musk's poop reaction to one of CEO Parag Agrawal's tweets on spam accounts in May as evidence against him in court. The Twitter lawsuit alleged that Musk has repeatedly disparaged Twitter and created business risk for the company. Meanwhile, reacting to this, Musk used another poop emoji and wrote, ""= bs"".",business
Google to slow hiring for rest of the year: CEO Pichai tells employees,"Google CEO Sundar Pichai in an internal memo to the staff has announced that they will be ""slowing down the pace of hiring for the rest of the year"" amid an uncertain global economic outlook. He added, Google will focus on hiring for ""critical roles"" and will be ""pausing development"" in some cases and ""re-deploying resources to higher priority areas"". ",business
"550 women sue Uber in US, say they were 'raped, harassed' by drivers; firm responds","Uber has been sued in the US by 550 women who claimed they ""were kidnapped, sexually assaulted, sexually battered, raped, stalked, harassed, or otherwise attacked by Uber drivers"". ""Sexual assault is a horrific crime and we take every single report seriously,"" an Uber spokesperson said. ""There is nothing more important than safety,"" the spokesperson further said.",business
Twitter-Musk case to be overseen by Delaware business court's 1st female chief judge,"The first female chief judge on Delaware’s business court will oversee Twitter’s lawsuit against Tesla CEO Elon Musk for violating the $44 billion acquisition agreement. Kathaleen McCormick took over the role of chancellor, or chief judge, last year. McCormick's final ruling on the merger can be appealed to the Delaware Supreme Court.",business
I'll eventually be out of the list of world's richest people: Gates on donation plans,"Bill Gates has said, ""As I look to the future, my plan is to give all my wealth to the Gates Foundation other than what I spend on myself and my family."" ""I do some...investing in US health care issues...outside the foundation,"" he added. ""I'll move down and eventually off of the list of the world's richest people,"" he stated.",business
"ED arrests former NSE CEO Chitra Ramkrishna, gets 4-day remand in money laundering case","The ED arrested former CEO and MD of NSE Chitra Ramkrishna in a money laundering case and got a four-day remand. The ED filed the case in connection with the illegal phone tapping case and the snooping case of employees of the stock exchange. In March, Chitra was arrested by CBI in connection with the NSE co-location case in Delhi.",business
Almost all states prepared draft rules on labour codes: Bhupender Yadav,"Union Minister Bhupender Yadav has said that almost all Indian states have prepared draft rules on the four labour codes. ""Almost all states have finalised draft rules...We will implement the codes [in one go] at an appropriate time,"" Yadav said. He added that there are a few Northeastern states, including Meghalaya, which have not completed the process yet.",business
Crypto must come under auto info-exchange mechanism: FM Sitharaman to G20,Finance Minister Nirmala Sitharaman told the group of 20 major economies to consider bringing cryptocurrencies under the ambit of the automatic exchange of information mechanism. The mechanism exists among countries to curb tax evasion. She said that investigations have shown tax evaders resorting to numerous layers of entities to mask their unaccounted wealth. ,business
Celsius becomes 3rd major crypto firm to file for bankruptcy in 3 weeks,"Celsius has become the third major crypto firm to file for bankruptcy in three weeks following the collapse of hedge fund Three Arrows Capital and broker Voyager Digital. The crypto lender said the decision was part of a financial restructuring that would ""stabilise the business"". The US-based platform had suspended customer withdrawals, swaps and transfers citing ""extreme market conditions"".",business
RBI likely to introduce new rules for fintech firms: Report,"The Reserve Bank of India (RBI) is likely to announce new regulations for fintech companies, Moneycontrol reported. The rules will likely cover areas such as data sharing, privacy, compliance with KYC and anti-money laundering norms, the report said. This comes in the wake of complaints related to some fintechs charging usurious interest rates and other issues, the report added.",business
"India's sugar, onion exports affected due to Sri Lankan crisis: Report","The ongoing economic crisis in Sri Lanka has affected the Indian exports of sugar and onion, said a report. Of the 40,000-50,000 tonnes of sugar which Sri Lanka consumes every month, 90% is sourced from India, the report stated. The Indian exporters have stopped sending onions there and the exporters who had traded are yet to receive payments, it said.",business
